state	start_time	end_time	duration
N2	2020-03-17 10:26:05.990234375	2020-03-17 10:26:35.990234375	0 days 00:00:30
N1	2020-03-17 10:26:35.990234375	2020-03-17 10:26:53.990234375	0 days 00:00:18
Wake	2020-03-17 10:26:53.990234375	2020-03-17 10:27:17.990234375	0 days 00:00:24
N1	2020-03-17 10:27:17.990234375	2020-03-17 10:27:47.990234375	0 days 00:00:30
N2	2020-03-17 10:27:47.990234375	2020-03-17 10:29:29.990234375	0 days 00:01:42
N1	2020-03-17 10:29:29.990234375	2020-03-17 10:29:47.990234375	0 days 00:00:18
N2	2020-03-17 10:29:47.990234375	2020-03-17 10:30:47.990234375	0 days 00:01:00
N1	2020-03-17 10:30:47.990234375	2020-03-17 10:30:53.990234375	0 days 00:00:06
Wake	2020-03-17 10:30:53.990234375	2020-03-17 10:30:59.990234375	0 days 00:00:06
N1	2020-03-17 10:30:59.990234375	2020-03-17 10:31:11.990234375	0 days 00:00:12
N2	2020-03-17 10:31:11.990234375	2020-03-17 10:31:53.990234375	0 days 00:00:42
Wake	2020-03-17 10:31:53.990234375	2020-03-17 10:31:59.990234375	0 days 00:00:06
N1	2020-03-17 10:31:59.990234375	2020-03-17 10:32:29.990234375	0 days 00:00:30
N2	2020-03-17 10:32:29.990234375	2020-03-17 10:33:11.990234375	0 days 00:00:42
N1	2020-03-17 10:33:11.990234375	2020-03-17 10:33:41.990234375	0 days 00:00:30
Wake	2020-03-17 10:33:41.990234375	2020-03-17 10:33:47.990234375	0 days 00:00:06
N1	2020-03-17 10:33:47.990234375	2020-03-17 10:33:59.990234375	0 days 00:00:12
N2	2020-03-17 10:33:59.990234375	2020-03-17 10:34:05.990234375	0 days 00:00:06
N1	2020-03-17 10:34:05.990234375	2020-03-17 10:34:35.990234375	0 days 00:00:30
N2	2020-03-17 10:34:35.990234375	2020-03-17 10:35:23.990234375	0 days 00:00:48
Wake	2020-03-17 10:35:23.990234375	2020-03-17 10:35:29.990234375	0 days 00:00:06
N1	2020-03-17 10:35:29.990234375	2020-03-17 10:35:41.990234375	0 days 00:00:12
N2	2020-03-17 10:35:41.990234375	2020-03-17 10:36:17.990234375	0 days 00:00:36
N1	2020-03-17 10:36:17.990234375	2020-03-17 10:36:41.990234375	0 days 00:00:24
REM	2020-03-17 10:36:41.990234375	2020-03-17 10:37:47.990234375	0 days 00:01:06
N1	2020-03-17 10:37:47.990234375	2020-03-17 10:37:53.990234375	0 days 00:00:06
Wake	2020-03-17 10:37:53.990234375	2020-03-17 11:08:05.990234375	0 days 00:30:12
